iter	Passed	Remaining
0	133	133785
1	136	68083
2	137	45854
3	139	34725
4	141	28187
5	143	23760
6	145	20663
7	147	18330
8	150	16528
9	151	15024
10	153	13772
11	155	12801
12	157	11979
13	160	11273
14	162	10674
15	164	10113
16	167	9674
17	170	9288
18	173	8939
19	174	8557
20	177	8272
21	180	8012
22	182	7771
23	185	7543
24	188	7335
25	191	7165
26	193	6990
27	197	6847
28	199	6670
29	201	6514
30	203	6371
31	205	6219
32	207	6094
33	210	5978
34	213	5873
35	215	5773
36	217	5649
37	219	5557
38	222	5471
39	224	5394
40	227	5319
41	229	5240
42	232	5164
43	234	5096
44	237	5034
45	239	4969
46	241	4904
47	244	4844
48	246	4784
49	248	4729
50	251	4675
51	253	4622
52	255	4557
53	257	4508
54	258	4448
55	261	4400
56	263	4357
57	265	4317
58	268	4276
59	270	4237
60	272	4199
61	275	4164
62	277	4129
63	280	4095
64	282	4062
65	283	4016
66	286	3983
67	287	3939
68	289	3901
69	291	3873
70	293	3846
71	296	3818
72	299	3797
73	301	3773
74	303	3747
75	306	3722
76	308	3698
77	310	3675
78	313	3652
79	316	3636
80	318	3614
81	320	3583
82	322	3561
83	324	3541
84	326	3517
85	328	3492
86	331	3479
87	333	3458
88	335	3429
89	336	3404
90	338	3380
91	340	3364
92	342	3344
93	345	3330
94	347	3309
95	349	3292
96	352	3277
97	354	3263
98	357	3252
99	360	3240
100	362	3226
101	364	3211
102	367	3199
103	370	3188
104	372	3175
105	375	3163
106	377	3147
107	379	3131
108	381	3117
109	383	3103
110	385	3090
111	388	3077
112	390	3065
113	392	3052
114	394	3038
115	397	3025
116	399	3012
117	401	3000
118	403	2988
119	405	2971
120	407	2959
121	409	2944
122	411	2933
123	413	2922
124	415	2911
125	418	2899
126	419	2883
127	420	2867
128	423	2856
129	424	2842
130	426	2828
131	428	2818
132	430	2807
133	432	2793
134	434	2783
135	436	2774
136	438	2765
137	441	2756
138	443	2746
139	445	2736
140	447	2727
141	449	2716
142	451	2707
143	453	2695
144	455	2686
145	457	2676
146	459	2667
147	461	2659
148	464	2650
149	466	2642
150	468	2634
151	470	2625
152	471	2611
153	473	2603
154	476	2595
155	478	2591
156	481	2583
157	483	2574
158	485	2565
159	487	2557
160	488	2545
161	490	2536
162	492	2528
163	494	2520
164	496	2513
165	499	2508
166	501	2503
167	504	2496
168	506	2491
169	509	2486
170	511	2480
171	514	2475
172	516	2470
173	519	2464
174	521	2458
175	523	2452
176	525	2443
177	527	2437
178	530	2433
179	533	2428
180	535	2421
181	536	2411
182	539	2408
183	541	2400
184	543	2394
185	545	2387
186	547	2378
187	549	2372
188	550	2363
189	553	2358
190	555	2352
191	557	2346
192	559	2340
193	561	2334
194	564	2328
195	566	2323
196	568	2317
197	570	2311
198	572	2305
199	575	2300
200	576	2290
201	578	2285
202	580	2280
203	582	2274
204	585	2268
205	587	2263
206	589	2258
207	591	2253
208	593	2247
209	595	2240
210	597	2235
211	599	2230
212	602	2225
213	604	2220
214	606	2213
215	608	2208
216	610	2202
217	612	2197
218	614	2192
219	617	2188
220	619	2183
221	621	2178
222	623	2173
223	625	2167
224	627	2162
225	630	2157
226	632	2153
227	634	2148
228	636	2143
229	638	2138
230	640	2133
231	643	2128
232	645	2123
233	647	2118
234	649	2114
235	651	2109
236	653	2104
237	655	2100
238	658	2095
239	660	2090
240	661	2084
241	663	2079
242	666	2075
243	668	2072
244	671	2069
245	673	2065
246	676	2061
247	677	2054
248	679	2050
249	681	2043
250	683	2039
251	685	2035
252	688	2032
253	690	2028
254	692	2024
255	695	2020
256	697	2016
257	700	2014
258	702	2009
259	704	2006
260	707	2002
261	709	1998
262	711	1994
263	713	1990
264	716	1986
265	718	1981
266	720	1977
267	722	1974
268	724	1970
269	727	1966
270	729	1962
271	731	1957
272	733	1954
273	735	1950
274	738	1946
275	740	1942
276	742	1937
277	744	1933
278	746	1930
279	749	1926
280	751	1922
281	753	1918
282	755	1914
283	757	1910
284	760	1906
285	762	1902
286	764	1899
287	766	1895
288	768	1891
289	771	1887
290	773	1884
291	775	1880
292	777	1876
293	779	1872
294	782	1868
295	784	1865
296	786	1861
297	788	1857
298	790	1854
299	793	1850
300	794	1845
301	796	1842
302	799	1838
303	801	1834
304	803	1830
305	805	1827
306	807	1823
307	810	1819
308	812	1816
309	814	1812
310	816	1808
311	818	1805
312	820	1801
313	822	1797
314	825	1794
315	827	1790
316	829	1787
317	831	1783
318	833	1780
319	836	1776
320	838	1773
321	841	1771
322	843	1768
323	845	1765
324	848	1761
325	850	1758
326	852	1754
327	854	1751
328	857	1748
329	859	1744
330	861	1742
331	864	1738
332	865	1733
333	867	1730
334	869	1727
335	872	1723
336	874	1720
337	877	1718
338	879	1715
339	882	1712
340	884	1710
341	887	1708
342	890	1705
343	893	1703
344	895	1699
345	897	1697
346	900	1694
347	903	1692
348	905	1689
349	907	1685
350	909	1682
351	912	1679
352	914	1676
353	917	1674
354	920	1671
355	922	1668
356	924	1666
357	926	1662
358	929	1659
359	931	1656
360	934	1653
361	936	1649
362	938	1646
363	940	1643
364	942	1639
365	944	1636
366	947	1633
367	949	1630
368	951	1627
369	954	1624
370	956	1621
371	958	1617
372	959	1612
373	961	1609
374	963	1606
375	966	1603
376	968	1600
377	970	1596
378	972	1593
379	974	1590
380	976	1587
381	979	1583
382	981	1580
383	983	1577
384	985	1574
385	987	1571
386	989	1567
387	991	1564
388	993	1560
389	995	1557
390	998	1554
391	1000	1551
392	1002	1548
393	1004	1545
394	1007	1542
395	1009	1540
396	1012	1537
397	1014	1534
398	1016	1531
399	1019	1528
400	1020	1524
401	1022	1521
402	1024	1518
403	1027	1515
404	1029	1512
405	1032	1510
406	1034	1507
407	1037	1504
408	1039	1501
409	1040	1497
410	1043	1495
411	1045	1492
412	1048	1489
413	1051	1487
414	1053	1485
415	1056	1482
416	1058	1479
417	1060	1476
418	1062	1473
419	1064	1470
420	1068	1468
421	1070	1466
422	1072	1463
423	1074	1460
424	1077	1457
425	1079	1454
426	1081	1451
427	1084	1448
428	1086	1445
429	1088	1443
430	1091	1440
431	1093	1437
432	1095	1434
433	1097	1431
434	1100	1429
435	1102	1426
436	1104	1423
437	1107	1420
438	1109	1417
439	1111	1414
440	1114	1412
441	1116	1409
442	1118	1406
443	1121	1403
444	1123	1401
445	1125	1398
446	1128	1395
447	1130	1393
448	1132	1390
449	1135	1387
450	1137	1384
451	1139	1381
452	1142	1379
453	1144	1376
454	1146	1373
455	1149	1370
456	1151	1368
457	1153	1365
458	1156	1362
459	1158	1359
460	1160	1356
461	1162	1353
462	1164	1350
463	1166	1347
464	1169	1345
465	1171	1342
466	1174	1339
467	1175	1336
468	1178	1333
469	1180	1331
470	1183	1328
471	1185	1326
472	1187	1323
473	1190	1320
474	1192	1318
475	1194	1314
476	1196	1312
477	1199	1309
478	1201	1306
479	1203	1303
480	1206	1301
481	1207	1297
482	1209	1295
483	1212	1292
484	1214	1289
485	1217	1287
486	1219	1284
487	1222	1282
488	1224	1279
489	1227	1277
490	1229	1275
491	1232	1272
492	1234	1269
493	1237	1267
494	1239	1264
495	1241	1261
496	1244	1259
497	1245	1255
498	1248	1253
499	1250	1250
500	1253	1248
501	1255	1245
502	1257	1242
503	1260	1240
504	1262	1237
505	1265	1235
506	1267	1232
507	1269	1229
508	1271	1226
509	1274	1224
510	1276	1221
511	1278	1218
512	1281	1216
513	1283	1213
514	1286	1211
515	1288	1208
516	1290	1205
517	1293	1203
518	1295	1200
519	1297	1197
520	1299	1195
521	1302	1192
522	1304	1189
523	1306	1187
524	1309	1184
525	1310	1181
526	1313	1178
527	1315	1175
528	1317	1173
529	1320	1170
530	1322	1168
531	1325	1165
532	1327	1163
533	1328	1159
534	1331	1157
535	1333	1154
536	1335	1151
537	1338	1149
538	1340	1146
539	1343	1144
540	1345	1141
541	1348	1139
542	1350	1136
543	1353	1134
544	1355	1131
545	1358	1129
546	1360	1127
547	1362	1124
548	1365	1121
549	1367	1119
550	1370	1116
551	1372	1114
552	1375	1111
553	1377	1109
554	1379	1106
555	1382	1103
556	1384	1101
557	1387	1098
558	1389	1095
559	1391	1093
560	1394	1090
561	1397	1089
562	1399	1086
563	1401	1083
564	1403	1080
565	1406	1078
566	1409	1076
567	1412	1074
568	1415	1072
569	1417	1069
570	1419	1066
571	1421	1063
572	1423	1061
573	1426	1058
574	1428	1056
575	1430	1053
576	1433	1050
577	1435	1048
578	1437	1045
579	1440	1042
580	1442	1040
581	1444	1037
582	1447	1035
583	1449	1032
584	1451	1029
585	1454	1027
586	1456	1024
587	1458	1022
588	1461	1019
589	1463	1016
590	1465	1014
591	1467	1011
592	1470	1009
593	1472	1006
594	1475	1004
595	1477	1001
596	1480	999
597	1483	997
598	1485	994
599	1488	992
600	1490	989
601	1493	987
602	1495	984
603	1498	982
604	1500	979
605	1503	977
606	1506	975
607	1508	972
608	1511	970
609	1514	968
610	1517	965
611	1519	963
612	1521	960
613	1523	958
614	1526	955
615	1529	953
616	1531	950
617	1534	948
618	1536	945
619	1539	943
620	1541	940
621	1544	938
622	1546	935
623	1549	933
624	1552	931
625	1554	928
626	1557	926
627	1559	923
628	1562	921
629	1565	919
630	1568	916
631	1570	914
632	1573	912
633	1576	910
634	1579	907
635	1582	905
636	1584	902
637	1586	900
638	1588	897
639	1591	895
640	1594	892
641	1596	890
642	1598	887
643	1601	885
644	1603	882
645	1606	880
646	1608	877
647	1610	875
648	1613	872
649	1615	869
650	1617	867
651	1619	864
652	1622	862
653	1623	858
654	1625	856
655	1628	853
656	1630	851
657	1632	848
658	1634	846
659	1637	843
660	1639	840
661	1642	838
662	1644	835
663	1646	833
664	1649	830
665	1651	828
666	1654	825
667	1656	823
668	1658	820
669	1661	818
670	1664	815
671	1666	813
672	1668	810
673	1671	808
674	1673	805
675	1675	803
676	1677	800
677	1680	798
678	1683	795
679	1685	793
680	1688	790
681	1690	788
682	1692	785
683	1695	783
684	1697	780
685	1699	778
686	1702	775
687	1704	773
688	1707	770
689	1709	767
690	1711	765
691	1714	762
692	1716	760
693	1718	757
694	1721	755
695	1723	752
696	1726	750
697	1728	747
698	1730	745
699	1733	742
700	1735	740
701	1737	737
702	1740	735
703	1742	732
704	1744	730
705	1747	727
706	1749	724
707	1751	722
708	1754	720
709	1757	717
710	1759	715
711	1761	712
712	1763	710
713	1766	707
714	1768	704
715	1770	702
716	1772	699
717	1775	697
718	1777	694
719	1779	692
720	1782	689
721	1784	687
722	1787	684
723	1789	682
724	1791	679
725	1793	677
726	1796	674
727	1798	671
728	1800	669
729	1803	666
730	1805	664
731	1807	661
732	1809	658
733	1811	656
734	1813	653
735	1816	651
736	1818	648
737	1820	646
738	1822	643
739	1825	641
740	1827	638
741	1830	636
742	1832	633
743	1835	631
744	1837	628
745	1840	626
746	1842	623
747	1844	621
748	1848	619
749	1851	617
750	1853	614
751	1856	612
752	1859	609
753	1861	607
754	1864	604
755	1867	602
756	1869	600
757	1872	597
758	1874	595
759	1877	592
760	1880	590
761	1883	588
762	1885	585
763	1888	583
764	1890	580
765	1892	578
766	1895	575
767	1897	573
768	1899	570
769	1902	568
770	1905	565
771	1908	563
772	1910	561
773	1913	558
774	1916	556
775	1920	554
776	1923	551
777	1925	549
778	1928	547
779	1931	544
780	1933	542
781	1936	539
782	1938	537
783	1940	534
784	1943	532
785	1945	529
786	1948	527
787	1952	525
788	1956	523
789	1959	520
790	1963	518
791	1965	516
792	1968	513
793	1972	511
794	1976	509
795	1978	507
796	1981	504
797	1983	502
798	1986	499
799	1989	497
800	1992	494
801	1994	492
802	1997	489
803	1999	487
804	2001	484
805	2004	482
806	2006	479
807	2009	477
808	2011	474
809	2014	472
810	2016	470
811	2019	467
812	2021	464
813	2023	462
814	2026	459
815	2028	457
816	2030	454
817	2032	452
818	2035	449
819	2037	447
820	2039	444
821	2042	442
822	2044	439
823	2046	437
824	2048	434
825	2051	432
826	2053	429
827	2055	427
828	2057	424
829	2060	421
830	2062	419
831	2064	416
832	2067	414
833	2069	411
834	2072	409
835	2074	406
836	2076	404
837	2079	401
838	2082	399
839	2084	397
840	2087	394
841	2089	392
842	2091	389
843	2093	387
844	2096	384
845	2098	382
846	2100	379
847	2103	376
848	2105	374
849	2108	372
850	2110	369
851	2112	367
852	2115	364
853	2117	362
854	2119	359
855	2122	357
856	2124	354
857	2126	351
858	2128	349
859	2130	346
860	2132	344
861	2133	341
862	2136	339
863	2138	336
864	2140	334
865	2143	331
866	2145	329
867	2147	326
868	2149	324
869	2151	321
870	2153	319
871	2156	316
872	2158	313
873	2161	311
874	2163	309
875	2166	306
876	2168	304
877	2170	301
878	2173	299
879	2175	296
880	2178	294
881	2180	291
882	2183	289
883	2185	286
884	2188	284
885	2191	281
886	2194	279
887	2196	277
888	2198	274
889	2201	272
890	2204	269
891	2206	267
892	2208	264
893	2210	262
894	2213	259
895	2215	257
896	2217	254
897	2220	252
898	2222	249
899	2224	247
900	2227	244
901	2229	242
902	2231	239
903	2234	237
904	2236	234
905	2238	232
906	2241	229
907	2243	227
908	2245	224
909	2247	222
910	2249	219
911	2252	217
912	2254	214
913	2256	212
914	2258	209
915	2261	207
916	2263	204
917	2265	202
918	2267	199
919	2269	197
920	2272	194
921	2274	192
922	2276	189
923	2279	187
924	2281	185
925	2284	182
926	2286	180
927	2289	177
928	2292	175
929	2295	172
930	2297	170
931	2299	167
932	2301	165
933	2304	162
934	2306	160
935	2309	157
936	2311	155
937	2313	152
938	2316	150
939	2317	147
940	2320	145
941	2322	142
942	2324	140
943	2326	138
944	2328	135
945	2331	133
946	2333	130
947	2335	128
948	2338	125
949	2340	123
950	2343	120
951	2345	118
952	2347	115
953	2349	113
954	2352	110
955	2355	108
956	2357	105
957	2360	103
958	2362	101
959	2364	98
960	2367	96
961	2369	93
962	2371	91
963	2374	88
964	2376	86
965	2379	83
966	2381	81
967	2383	78
968	2386	76
969	2388	73
970	2391	71
971	2393	68
972	2396	66
973	2398	64
974	2400	61
975	2403	59
976	2405	56
977	2407	54
978	2409	51
979	2412	49
980	2414	46
981	2417	44
982	2419	41
983	2421	39
984	2424	36
985	2426	34
986	2429	31
987	2431	29
988	2433	27
989	2435	24
990	2438	22
991	2440	19
992	2442	17
993	2444	14
994	2447	12
995	2449	9
996	2451	7
997	2454	4
998	2456	2
999	2459	0
